Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
ANY MALU SERIES,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,6,6/1/24,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
NO ME OLVIDEN FALTO YO,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,4,4/1/24,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Eloa Case,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,7,7/1/24,BR,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Debanhi Escobar,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,7,7/1/24,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Henry,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,10,10/1/24,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Marilia Mendoza,1,Named (New Series),Known,Exclude,Exclude,Exclude,HBOMAX,Exclusive,2024,12,12/1/24,MX,LATAM,New,Docuseries,Silver,N,Bronze,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Los Desaparecidos de Ayotzinapa,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2025,1,1/1/25,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
EL MIJIS,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2025,4,4/1/25,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
PLACEHOLDER UNSCRIPTED BRA #02,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,4,4/1/25,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Gold,N,Bronze,Unscripted,Unscripted | Gold,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
LA BATALLA DE CULIACAN,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2025,7,7/1/25,MX,LATAM,New,Docuseries,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
PLACEHOLDER UNSCRIPTED BRA #04,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,7,7/1/25,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
PLACEHOLDER TRUE CRIME MEX #01,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,10,10/1/25,MX,LATAM,New,Docuseries,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
PLACEHOLDER UNSCRIPTED BRA #06,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,10,10/1/25,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
ANA EMILIA SCRIPTED,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,3,3/1/24,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
LA CQ REBOOT,2,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,3,3/1/24,MX,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
PLACEHOLDER DOCUMENTARY SERIES COL,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,7,7/1/25,Rest of LATAM,LATAM,New,Docuseries,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
PLACEHOLDER DOCUMENTARY SERIES (RENE HIGUITA),1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2024,10,10/1/24,MX,LATAM,New,Docuseries,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Marcial Maciel,1,Committed,Known,Include,Include,Include,HBOMAX,Exclusive,2024,11,11/1/24,MX,LATAM,New,Docuseries,Gold,N,Bronze,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
PLACEHOLDER UNSCRIPTED ARG,1,Unnamed,Known,Include,Include,Include,HBOMAX,Exclusive,2025,1,1/1/25,Rest of LATAM,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
BAD FAITH,1,Committed,Known,Include,Include,Include,HBOMAX,Exclusive,2023,5,5/1/23,MX,LATAM,New,Docuseries,Silver,N,Bronze,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
"WHAT'S UP, BUD",1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,7,7/1/24,Rest of LATAM,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
Monica & Friends S4,4,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,Rest of LATAM,LATAM,Returning,Kids - Scripted Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Live Action,Kids,0,0,0,0,,Kids,13,0.5,6.5
LA VIDA SECRETA DE TU MENTE,1,Committed,Known,Include,Include,Include,HBOMAX,Exclusive,2023,3,3/1/23,Rest of LATAM,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
La Narcosatanica,1,Committed,Known,Include,Include,Include,HBOMAX,Exclusive,2023,7,7/1/23,MX,LATAM,New,Scripted Series - Live Action Drama,Gold,N,Bronze,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
REY MYSTERIO S2,2,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2024,11,11/1/24,MX,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
REINO INFANTIL SERIES,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
FRANKELDA'S SPECIAL/FEATURE,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,11,11/1/23,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
GATO GALACTICO LIVE ACTION UNSCRIPTED,1,Priority Uncommitted,Known,Include,Include,Include,HBOMAX,Exclusive,2024,2,2/1/24,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
IMAGINE-SE S2,2,Priority Uncommitted,Known,Include,Include,Include,HBOMAX,Exclusive,2024,7,7/1/24,MX,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
REINO INFANTIL SPECIAL #2,1,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2024,3,3/1/24,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
REINO INFANTIL SPECIAL #1,1,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2023,12,12/1/23,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
JOREL'S BROTHER SPECIAL,1,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2023,11,11/1/23,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
REY MISTERIO vs THE DARKNESS S1,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,11,11/1/23,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
La CQ Reunion,1,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
O Ver?o da Lata,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
TOPA SPECIAL,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,8,8/1/23,BR,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
VILLAINOUS SPECIAL,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,10,10/1/23,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
MONICA TEEN SPECIAL #1,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,11,11/1/23,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
Lamput - S4,4,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2023,7,7/1/23,BR,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
GATO GALACTICO SPECIAL #1,1,Priority Uncommitted,Known,Include,Include,Include,HBOMAX,Exclusive,2023,10,10/1/23,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
MONICA PRE-SCHOOL / ASTRONAUTA,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2023,7,7/1/23,MX,LATAM,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
Monica Jovem SVOD Rights,1,Named (New Series),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,Rest of LATAM,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
JUGADA PELIGROSA S2,2,Committed,Known,Exclude,Exclude,Exclude,HBOMAX,Exclusive,2023,5,5/1/23,MX,LATAM,Returning,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
DIVINA COMIDA MEXICO,1,Committed,Known,Include,Include,Include,HBOMAX,Exclusive,2023,5,5/1/23,MX,LATAM,New,Unscripted Series - Docufollow / Reality,Gold,N,Bronze,Unscripted,Unscripted | Gold,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
IDJ S5,5,Named (Renewal),Known,Include,Include,Include,HBOMAX,Exclusive,2024,1,1/1/24,Rest of LATAM,LATAM,Returning,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
Sierra Madre (El Reino) (S1) - (10 eps - 1h),1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,10,10/1/23,MX,LATAM,New,Scripted Series - Live Action Drama,Gold,N,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
"JARDIN DE BRONCE, EL: SEASON 3",3,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,7,7/1/23,Rest of LATAM,LATAM,Returning,Scripted Series - Live Action Drama,Gold,N,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Greg News S7,7,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,5,5/1/23,MX,LATAM,Returning,Scripted Series - Live Action Drama,Bronze,N,Bronze,Drama,Drama | Bronze,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
Masc�ras de Oxig�nio N�o Cair�o Automaticamente,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2025,1,1/1/25,BR,LATAM,New,Scripted Series - Live Action Drama,Silver,N,Bronze,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
"CARLINHOS BROWN, BATUQUE ANCESTRAL",1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2024,7,7/1/24,BR,LATAM,New,Scripted Series - Live Action Drama,Gold,N,Bronze,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1,9
ASTRONAUTA - PROPULS�O: SEASON 1,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,11,11/1/23,MX,LATAM,New,Kids - Animated Series,Silver,N,Bronze,Comedy,Comedy | Silver,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,20,0.5,10
MENINAS DE REALENGO: SEASON 1,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,8,8/1/23,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Silver,N,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Qu� L�ngua � essa? (aka Lingua M�e) (Ancine),1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2024,4,4/1/24,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Mostra de S�o Paulo (Ancine),1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2024,10,10/1/24,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Coisa de Menino (Ancine),1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,7,7/1/23,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
O Mundo Invisivel dos Gamers,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,9,9/1/23,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
C�MERA ENTRE BALAS: SEASON 1,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2023,4,4/1/23,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
HERCHCOVITCH; EXPOSTO,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2024,4,4/1/24,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Silver,N,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
ELIS POR JO�O: SEASON 1,1,Committed,Known,Include,Include,Include,HBOLAG,HBO Concurrent,2024,1,1/1/24,BR,LATAM,New,Unscripted Series - Docufollow / Reality,Bronze,N,Bronze,Unscripted,Unscripted | Bronze,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
30 Coins S2,2,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,7,7/1/23,ES,EMEA,Returning,Scripted Series - Live Action Drama,Gold,N,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
Monos Con Pistola,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,3,3/1/23,ES,EMEA,New,Scripted Series - Live Action Comedy,Silver,N,Bronze,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,7,0.5,4
Scripted 2023 #4 (Yakarta),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,9,9/1/23,ES,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.67,5
Scripted 2024 #1 (Garcia S2),2,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,6,6/1/24,ES,EMEA,Returning,Scripted Series - Live Action Comedy,Gold,N,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.83,5
Scripted 2024 #2 (Poor Devil S2),2,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,6,6/1/24,ES,EMEA,Returning,Scripted Series - Live Action Drama,Silver,N,Bronze,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.37,3
Scripted 2024 #3 (El Caso Pinochet),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,9,9/1/24,ES,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.75,5
Scripted 2024 #4 (Monos con Pistola S2),2,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,7,7/1/24,ES,EMEA,Returning,Scripted Series - Live Action Drama,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,4,0.92,4
Scripted 2025 #1 (30 Coins S3),3,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2025,6,6/1/25,ES,EMEA,Returning,Scripted Series - Live Action Drama,Gold,N,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.92,7
Scripted 2025 #2 (Olympo),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2025,6,6/1/25,ES,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Gold,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.83,5
Scripted 2025 #3 (Cuando nadie nos ve),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2025,6,6/1/25,ES,EMEA,New,Scripted Series - Live Action Comedy,Silver,N,Platinum,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
Scripted 2025 #4 (Delparaíso),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2025,6,6/1/25,ES,EMEA,New,Scripted Series - Live Action Comedy,Silver,N,Platinum,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
Bring back Alica (Trauma),1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,11,11/1/23,PL,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.92,6
Thaw S2,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,10,10/1/23,PL,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.83,5
The Untouchable (Spy),1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,5,5/1/23,PL,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.92,6
Scripted 2024 #1 (e.g. La Mythomane bu Bataclan),1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,6,6/1/24,FR,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,4,0.87,3
Scripted 2024 #2 (e.g. Saint-Ouen),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2024,10,10/1/24,FR,EMEA,New,Scripted Series - Live Action Comedy,Silver,N,Gold,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,5
Scripted 2024 #4(e.g. Merteuil),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2024,12,12/1/24,FR,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Gold,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.87,5
Scripted 2025 #2 (e.g Femmes de voyous),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,10,10/1/25,FR,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.87,7
Scripted 2025 #3 (e.g. Sales Gosses),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,10,10/1/25,FR,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Bronze,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.87,7
Scripted 2025 #1  (e.g. A.S.F.),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,11,11/1/25,FR,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Bronze,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,10,0.5,5
Scripted 2025 #5 (e.g. Bandido),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,11,11/1/25,FR,EMEA,New,Scripted Series - Live Action Drama,Silver,N,Silver,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,0.87,5
Scripted 2025 #6 (e.g. Vivre avec les morts),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,11,11/1/25,FR,EMEA,New,Scripted Series - Live Action Comedy,Silver,N,Gold,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,5
Scripted 2025 #8 (e.g. 74 Women),1,Named (New Series),Known,Include,Include,Include,HBO MAX,Exclusive,2025,3,3/1/25,FR,EMEA,New,Scripted Series - Live Action Drama,Gold,N,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,0.08,1
FBoy Island,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,9,9/1/23,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,10,0.83,8
Se Busca Millionario,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,11,11/1/23,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,3,0.75,2
The Traitors,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,12,12/1/23,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,1,8
Las vidas de Felix,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,6,6/1/23,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,5,0.5,3
Timezone,1,Committed,Known,Include,Include,Include,HBO MAX,Exclusive,2023,1,1/1/23,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.83,7
Unscripted 2024 #1 (Documentary #1),1,Unnamed,Known,Include,Include,Include,HBO MAX,Exclusive,2024,4,4/1/24,ES,EMEA,New,Unscripted Series - Docufollow / Reality,Silver,N,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.5,4
